ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
472	non-existent-j	3	12	1.73167	12.16020	5.84603	
473	Falling-n	3	15	1.73158	11.83827	5.84350	
475	probably-a	4	589	1.98391	6.95807	5.84139	
476	Thursday-n	7	2304	2.59819	5.79763	5.84121	
477	mute-v	3	18	1.73148	11.57523	5.84097	
478	today-n	5	1162	2.20768	6.29973	5.84063	
480	negligible-j	3	19	1.73145	11.49723	5.84013	
481	e-cigarettes-n	3	20	1.73142	11.42323	5.83929	
482	entrench-v	3	22	1.73136	11.28573	5.83761	
483	rock-bottom-n	3	23	1.73133	11.22160	5.83677	
484	employer-n	4	598	1.98367	6.93619	5.83572	
485	ultra-low-j	3	26	1.73123	11.04472	5.83426	
486	Ansell-n	3	26	1.73123	11.04472	5.83426	
487	move-n	5	1175	2.20737	6.28368	5.83409	
488	remit-n	3	27	1.73120	10.99027	5.83342	
489	low-a	3	27	1.73120	10.99027	5.83342	
490	Official-j	3	28	1.73117	10.93780	5.83258	
491	yoghurt-n	3	28	1.73117	10.93780	5.83258	
492	nudge-v	3	29	1.73114	10.88718	5.83175	
494	subdue-v	3	32	1.73104	10.74516	5.82924	
495	moderate-v	3	33	1.73101	10.70076	5.82841	
496	peg-v	3	34	1.73098	10.65769	5.82757	
497	zero-n	3	36	1.73092	10.57523	5.82591	
498	outstrip-v	3	37	1.73088	10.53570	5.82507	
499	maximize-v	3	39	1.73082	10.45976	5.82341	
500	Rain-n	3	39	1.73082	10.45976	5.82341	
501	hover-v	3	40	1.73079	10.42323	5.82258	
502	fluctuation-n	3	47	1.73057	10.19057	5.81678	
503	aim-v	4	631	1.98277	6.85870	5.81512	
504	build-v	6	1798	2.40940	5.93298	5.81389	
505	spiral-n	3	55	1.73032	9.96380	5.81018	
506	reflect-v	4	640	1.98252	6.83827	5.80956	
507	deflationary-j	3	58	1.73022	9.88718	5.80771	
508	least-j	5	1240	2.20578	6.20600	5.80180	
509	China-n	8	3003	2.77044	5.60801	5.80155	
510	Fischer-n	3	66	1.72997	9.70076	5.80115	
511	reveal-v	4	655	1.98211	6.80484	5.80033	
512	lag-v	3	67	1.72994	9.67907	5.80033	
513	likelihood-n	3	68	1.72991	9.65769	5.79951	
514	Resolution-n	3	71	1.72981	9.59541	5.79706	
515	feel-v	5	1250	2.20553	6.19441	5.79690	
516	Forbes-n	3	74	1.72972	9.53570	5.79461	
517	seasonal-j	3	74	1.72972	9.53570	5.79461	
518	two-year-j	3	76	1.72965	9.49723	5.79299	
519	main-j	6	1854	2.40815	5.88873	5.79095	
520	long-a	4	672	1.98165	6.76788	5.78994	
521	peak-v	3	81	1.72950	9.40531	5.78892	
522	trend-n	4	676	1.98154	6.75932	5.78750	
523	dip-n	3	83	1.72943	9.37012	5.78730	
524	George-n	4	679	1.98146	6.75293	5.78568	
525	curb-v	3	86	1.72934	9.31889	5.78487	
526	bounce-v	3	91	1.72918	9.23736	5.78083	
527	Q-n	3	92	1.72915	9.22160	5.78002	
529	adjustment-n	3	104	1.72877	9.04472	5.77038	
530	substantially-a	3	107	1.72868	9.00369	5.76798	
531	RBA-n	3	110	1.72858	8.96380	5.76558	
532	already-a	6	1923	2.40661	5.83601	5.76319	
534	currency-n	5	1330	2.20358	6.10491	5.75826	
535	historic-j	3	122	1.72820	8.81442	5.75603	
536	implication-n	3	126	1.72808	8.76788	5.75286	
537	considerable-j	3	128	1.72801	8.74516	5.75128	
538	September-n	5	1347	2.20316	6.08659	5.75018	
539	balance-v	3	130	1.72795	8.72279	5.74970	
540	May-n	5	1352	2.20304	6.08124	5.74781	
541	improve-v	5	1367	2.20268	6.06533	5.74073	
542	Committee-n	3	146	1.72745	8.55533	5.73712	
